area,files,decls,attempts,hits,findings,todo,modules,hit_modules,hit_sq
Combinatorics,199,368,1007,11,11,0,46,7,25
Order,314,2041,3799,38,44,0,169,20,108
Algebra,1346,7015,29292,126,139,0,675,61,426
Data,649,622,1335,10,10,0,91,8,14
Dynamics,34,80,201,1,1,0,15,1,1
GroupTheory,167,1049,2263,13,14,0,109,6,35
Probability,137,330,785,4,4,0,44,2,8
LinearAlgebra,373,2274,13792,24,25,0,247,16,48
NumberTheory,242,793,2576,8,8,0,101,5,16
Computability,36,272,569,2,2,0,6,1,4
Analysis,798,7547,40269,51,53,0,503,26,159
Topology,677,4351,9609,29,29,0,312,23,41
FieldTheory,84,734,3939,4,4,0,76,4,4
Geometry,143,1048,3523,5,7,0,83,2,17
MeasureTheory,314,2160,7290,10,10,0,157,6,20
RingTheory,719,5151,26065,20,20,0,560,16,30
CategoryTheory,1089,279,703,1,1,0,73,1,1
AlgebraicGeometry,140,245,599,0,0,0,37,0,0
AlgebraicTopology,159,7,11,0,0,0,4,0,0
Condensed,34,4,12,0,0,0,3,0,0
Control,25,4,4,0,0,0,1,0,0
Logic,57,4,8,0,0,0,2,0,0
ModelTheory,34,55,214,0,0,0,6,0,0
RepresentationTheory,43,113,667,0,0,0,27,0,0
SetTheory,56,75,102,0,0,0,7,0,0
