area,files,decls,attempts,hits,findings,todo,modules,hit_modules,hit_sq
Dynamics,34,55,129,2,2,0,11,2,2
Algebra,1346,5660,23294,136,151,0,563,57,638
Data,649,567,1303,12,13,0,95,10,16
Order,314,1235,2415,25,30,0,130,11,91
Analysis,798,5824,23059,103,107,0,407,44,447
Probability,137,286,628,5,5,0,38,4,7
Combinatorics,199,517,1326,8,8,0,74,7,10
NumberTheory,242,730,2442,11,11,0,94,8,17
Topology,677,2223,6441,25,25,0,226,20,35
Geometry,143,759,2454,8,9,0,70,4,22
RingTheory,719,4868,24825,48,53,0,541,42,66
LinearAlgebra,373,2275,14565,22,22,0,248,14,48
RepresentationTheory,43,113,723,1,1,0,27,1,1
GroupTheory,167,1167,3209,9,9,0,119,4,27
MeasureTheory,314,1756,4669,12,12,0,137,8,22
AlgebraicGeometry,140,231,573,1,1,0,32,1,1
FieldTheory,84,738,4000,3,3,0,76,3,3
AlgebraicTopology,159,5,8,0,0,0,3,0,0
Computability,36,32,32,0,0,0,3,0,0
Condensed,34,4,12,0,0,0,3,0,0
InformationTheory,7,15,15,0,0,0,2,0,0
Logic,57,4,6,0,0,0,2,0,0
ModelTheory,34,55,210,0,0,0,6,0,0
SetTheory,56,77,145,0,0,0,8,0,0
CategoryTheory,1089,65,152,0,0,0,25,0,0
