area,module,theorem,binder,stated,holds_over,magnitude,loses_invertibility,descent_floor_unverified,assumption
Algebra,Mathlib.Algebra.AddConstMap.Basic,AddConstMapClass.monotone_iff_Icc,[PartialOrder H],PartialOrder,Preorder,1,0,,unused
Algebra,Mathlib.Algebra.Algebra.Bilinear,LinearMap.commute_mulLeft_right,[CommSemiring R],CommSemiring,Semiring,1,0,,unused
Algebra,Mathlib.Algebra.Algebra.NonUnitalSubalgebra,NonUnitalSubalgebra._root_.Set.smul_mem_center,[CommSemiring R],CommSemiring,Semiring,1,0,,unused
Algebra,Mathlib.Algebra.Algebra.Spectrum.Quasispectrum,QuasispectrumRestricts.of_subset_range_algebraMap,[Field S],Field,CommRing,3,0,CommSemiring,unused
Algebra,Mathlib.Algebra.Algebra.StrictPositivity,IsStrictlyPositive.of_subsingleton,[PartialOrder A],PartialOrder,Preorder,1,0,,unused
Algebra,Mathlib.Algebra.Algebra.StrictPositivity,IsStrictlyPositive.smul,[PartialOrder A],PartialOrder,Preorder,1,0,,unused
Algebra,Mathlib.Algebra.Algebra.StrictPositivity,IsStrictlyPositive.smul,[PartialOrder 𝕜],PartialOrder,Preorder,1,0,,unused
Algebra,Mathlib.Algebra.Algebra.StrictPositivity,IsStrictlyPositive.smul,[Ring A],Ring,Semiring,2,1,,unused
Algebra,Mathlib.Algebra.Algebra.Tower,Algebra.lsmul_injective,[AddCommGroup M],AddCommGroup,AddCommMonoid,2,1,,unused
Algebra,Mathlib.Algebra.Algebra.Unitization,Unitization.isStarProjection_inr_iff,[NonUnitalSemiring A],NonUnitalSemiring,NonUnitalNonAssocSemiring,1,0,,unused
Algebra,Mathlib.Algebra.Algebra.Unitization,Unitization.isStarProjection_inr_iff,[StarRing A],StarRing,StarMul,-1,0,,unused
Algebra,Mathlib.Algebra.BigOperators.Finprod,finprod_le_finprod,[PartialOrder M],PartialOrder,Preorder,1,0,,unused
Algebra,Mathlib.Algebra.BigOperators.Finprod,finprod_le_finprod',[PartialOrder M],PartialOrder,Preorder,1,0,,unused
Algebra,Mathlib.Algebra.BigOperators.Finprod,Multiset.mulSupport_fun_pow_count_subset,[CommMonoid M],CommMonoid,Monoid,1,0,,unused
Algebra,Mathlib.Algebra.BigOperators.Finsupp.Basic,Finsupp.comp_liftAddHom,[AddCommMonoid A],AddCommMonoid,AddMonoid,1,0,AddZeroClass,unused
Algebra,Mathlib.Algebra.BigOperators.Finsupp.Basic,Finsupp.liftAddHom_apply,[AddCommMonoid A],AddCommMonoid,AddMonoid,1,0,AddZeroClass,unused
Algebra,Mathlib.Algebra.BigOperators.Finsupp.Basic,Finsupp.liftAddHom_apply_single,[AddCommMonoid A],AddCommMonoid,AddMonoid,1,0,AddZeroClass,unused
Algebra,Mathlib.Algebra.BigOperators.Finsupp.Basic,Finsupp.liftAddHom_comp_single,[AddCommMonoid A],AddCommMonoid,AddMonoid,1,0,AddZeroClass,unused
Algebra,Mathlib.Algebra.BigOperators.Group.List.Basic,List.length_pos_of_prod_ne_one,[Monoid M],Monoid,MulOneClass,2,0,,replaceable
Algebra,Mathlib.Algebra.BigOperators.Group.List.Defs,List.prod_hom_rel,[Monoid M],Monoid,MulOneClass,2,0,,unused
Algebra,Mathlib.Algebra.Category.ModuleCat.ChangeOfRingsExact,ModuleCat.restrictScalars_map_exact,[CommRing R],CommRing,Ring,1,0,,unused
Algebra,Mathlib.Algebra.CharP.Algebra,Algebra.charP_iff,[CommSemiring L],CommSemiring,Semiring,1,0,,unused
Algebra,Mathlib.Algebra.CharP.Algebra,IsFractionRing.charP_of_isFractionRing,[Field K],Field,CommRing,3,0,,unused
Algebra,Mathlib.Algebra.CharP.Invertible,not_ringChar_dvd_of_invertible,[Ring R],Ring,Semiring,2,1,,unused
Algebra,Mathlib.Algebra.DirectSum.LinearMap,LinearMap.mapsTo_biSup_of_mapsTo,[AddCommGroup M],AddCommGroup,AddCommMonoid,2,1,,replaceable
Algebra,Mathlib.Algebra.DirectSum.LinearMap,LinearMap.mapsTo_biSup_of_mapsTo,[CommRing R],CommRing,Ring,1,0,Semiring,replaceable
Algebra,Mathlib.Algebra.Divisibility.Units,IsRelPrime.isUnit_of_dvd,[CommMonoid α],CommMonoid,Monoid,1,0,,unused
Algebra,Mathlib.Algebra.Divisibility.Units,IsRelPrime.of_mul_left_left,[CommMonoid α],CommMonoid,Monoid,1,0,,unused
Algebra,Mathlib.Algebra.Divisibility.Units,IsRelPrime.symm,[CommMonoid α],CommMonoid,Monoid,1,0,,unused
Algebra,Mathlib.Algebra.Group.Action.Defs,IsScalarTower.of_commMonoid,[CommMonoid R],CommMonoid,CommSemigroup,2,0,,unused
Algebra,Mathlib.Algebra.Group.Equiv.Defs,MulEquiv.comp_left_injective,[MulOneClass P],MulOneClass,MulOne,1,0,,unused
Algebra,Mathlib.Algebra.Group.Equiv.Defs,MulEquiv.comp_right_injective,[MulOneClass P],MulOneClass,MulOne,1,0,,unused
Algebra,Mathlib.Algebra.Group.Even,IsSquare.map,[MulOneClass α],MulOneClass,MulOne,1,0,,replaceable
Algebra,Mathlib.Algebra.Group.Hom.CompTypeclasses,MonoidHom.CompTriple.comp,[Monoid M],Monoid,MulOneClass,2,0,,replaceable
Algebra,Mathlib.Algebra.Group.Pointwise.Finset.Basic,Finset.inter_mul_union_subset,[CommSemigroup α],CommSemigroup,CommMagma,2,0,,unused
Algebra,Mathlib.Algebra.Group.Pointwise.Finset.Basic,Finset.union_mul_inter_subset,[CommSemigroup α],CommSemigroup,CommMagma,2,0,,unused
Algebra,Mathlib.Algebra.Group.Pointwise.Set.Basic,Set.inter_mul_union_subset,[CommSemigroup α],CommSemigroup,CommMagma,2,0,,unused
Algebra,Mathlib.Algebra.Group.Pointwise.Set.Basic,Set.union_mul_inter_subset,[CommSemigroup α],CommSemigroup,CommMagma,2,0,,unused
Algebra,Mathlib.Algebra.Group.Pointwise.Set.BigOperators,Set.list_prod_mem_list_prod,[CommMonoid α],CommMonoid,Monoid,1,0,MulOneClass,replaceable
Algebra,Mathlib.Algebra.Group.Submonoid.Pointwise,Submonoid.closure_mul_le,[Monoid M],Monoid,MulOneClass,2,0,,replaceable
Algebra,Mathlib.Algebra.Group.Submonoid.Pointwise,Submonoid.mul_subset,[Monoid M],Monoid,MulOneClass,2,0,,unused
Algebra,Mathlib.Algebra.Group.Submonoid.Pointwise,Set.IsPWO.submonoid_closure,[PartialOrder α],PartialOrder,Preorder,1,0,,unused
Algebra,Mathlib.Algebra.GroupWithZero.Associated,Associates.irreducible_mk,[CommMonoidWithZero M],CommMonoidWithZero,CommMonoid,4,0,,unused
Algebra,Mathlib.Algebra.Module.Card,Cardinal.mk_le_of_module,[IsDomain R],IsDomain,NoZeroDivisors,3,0,,unused
Algebra,Mathlib.Algebra.Module.Lattice,Submodule.IsLattice.of_le_of_isLattice_of_fg,[AddCommGroup V],AddCommGroup,AddCommMonoid,2,1,,unused
Algebra,Mathlib.Algebra.Module.LinearMap.End,Module.End.commute_id_right,[AddCommGroup M],AddCommGroup,AddCommMonoid,2,1,,unused
Algebra,Mathlib.Algebra.Module.LinearMap.End,Module.End.commute_id_right,[Ring R],Ring,Semiring,2,1,,unused
Algebra,Mathlib.Algebra.Module.Submodule.Ker,LinearMap.injective_codRestrict_iff,[Ring R],Ring,Semiring,2,1,,unused
Algebra,Mathlib.Algebra.Module.Torsion.Basic,Submodule._root_.Module.isTorsionBySet_annihilator_top,[CommSemiring R],CommSemiring,Semiring,1,0,,unused
Algebra,Mathlib.Algebra.Module.Torsion.Basic,infinite_range_add_smul_iff,[IsDomain R],IsDomain,NoZeroDivisors,3,0,,unused
Algebra,Mathlib.Algebra.MonoidAlgebra.Degree,AddMonoidAlgebra.le_infDegree_mul,[AddZeroClass A],AddZeroClass,AddZero,1,0,,unused
Algebra,Mathlib.Algebra.MonoidAlgebra.Degree,AddMonoidAlgebra.monic_one,[AddZeroClass A],AddZeroClass,AddZero,1,0,,unused
Algebra,Mathlib.Algebra.MonoidAlgebra.Degree,AddMonoidAlgebra.supDegree_mem_support,[AddZeroClass A],AddZeroClass,AddZero,1,0,,unused
